Numero,Aleacion ,Composicion (at.%),Categoria ,Fabricacion,Fases ,Categoría,Densidad (g/cm3),Dureza (HV),Modulo de Young (GPa),Limite Elastico (Mpa),Esfuerzo ultimo ,Deformacion,Fecha publicacion,DOI
555,CoFeMo0.8NiV,Co-Fe-Mo0.8-Ni-V,HEA,Fusion por arco al vacio,FCC + CoMo2Ni,FCC+IM,8.3,606,N/A,N/A,N/A,N/A,20-jul-15,https://doi.org/10.1016/j.jallcom.2015.07.185
556,CoFeMoNiV,Co-Fe-Mo-Ni-V,HEA,Fusion por arco al vacio,FCC + Co2Mo3,FCC+IM,8.4,625,N/A,N/A,N/A,N/A,20-jul-15,https://doi.org/10.1016/j.jallcom.2015.07.185
557,CoFeMoNi1.2V,Co-Fe-Mo-Ni1.2-V,HEA,Fusion por arco al vacio,FCC + Co2Mo3,FCC+IM,8.4,602,N/A,N/A,N/A,N/A,20-jul-15,https://doi.org/10.1016/j.jallcom.2015.07.185
558,CoFeMoNi1.4V,Co-Fe-Mo-Ni1.4-V,HEA,Fusion por arco al vacio,FCC + Co2Mo3,FCC+IM,8.5,538,N/A,N/A,N/A,N/A,20-jul-15,https://doi.org/10.1016/j.jallcom.2015.07.185
559,CoFeMoNi1.6V,Co-Fe-Mo-Ni1.6-V,HEA,Fusion por arco al vacio,FCC + Co2Mo3,FCC+IM,8.5,520,N/A,N/A,N/A,N/A,20-jul-15,https://doi.org/10.1016/j.jallcom.2015.07.185
560,CoFeMoNi1.8V,Co-Fe-Mo-Ni1.8-V,HEA,Fusion por arco al vacio,FCC + Co2Mo3,FCC+IM,8.5,510,N/A,N/A,N/A,N/A,20-jul-15,https://doi.org/10.1016/j.jallcom.2015.07.185
561,CoFeMoNi2V,Co-Fe-Mo-Ni2-V,HEA,Fusion por arco al vacio,FCC + Co2Mo3,FCC+IM,8.5,382,N/A,N/A,N/A,N/A,20-jul-15,https://doi.org/10.1016/j.jallcom.2015.07.185
562,CoCrCuFeMnNiTiV,Co-Cr-Cu-Fe-Mn-Ni-Ti-V,HEA,fusión por inducción de media frecuencia en atmósfera inerte,FCC + BCC + Im,FCC+IM,7.3,N/A,74,1312,1312,< 1,07-nov-16,https://doi.org/10.1016/j.msea.2006.11.049
563,Al11.1(CoCrCuFeMnNiTiV)88.9,Al11.1(Co-Cr-Cu-Fe-Mn-Ni-Ti-V)88.10,HEA,fusión por inducción de media frecuencia en atmósfera inerte,FCC + BCC,FCC+BCC,6.7,N/A,164,1862,2431,< 1,07-nov-16,https://doi.org/10.1016/j.msea.2006.11.049
564,Al20(CoCrCuFeMnNiTiV)80,Al20(Co-Cr-Cu-Fe-Mn-Ni-Ti-V)81,HEA,fusión por inducción de media frecuencia en atmósfera inerte,BCC,BCC,6.1,N/A,190,1465,2016,2,07-nov-16,https://doi.org/10.1016/j.msea.2006.11.049
565,Al40(CoCrCuFeMnNiTiV)60,Al40(Co-Cr-Cu-Fe-Mn-Ni-Ti-V)61,HEA,fusión por inducción de media frecuencia en atmósfera inerte,BCC + Im,BCC+IM,5.1,N/A,163,1461,1461,< 1,07-nov-16,https://doi.org/10.1016/j.msea.2006.11.049
566,(CuMnNi)75Zn25,(CuMnNi)75Zn26,HEA,"Fusion por arco + calentamiento escalonado a 700°C, 900°C, 1050°C",FCC,FCC,8.3,147,169,215,N/A,>60,30-jul-15,https://doi.org/10.1016/j.jallcom.2015.07.285
567,(CuMnNi)80Zn20,(CuMnNi)80Zn21,HEA,"Fusion por arco + calentamiento escalonado a 700°C, 900°C, 1050°C",FCC,FCC,8.3,109,171,140,N/A,>65,30-jul-15,https://doi.org/10.1016/j.jallcom.2015.07.285
568,(CuMnNi)90Al10,(CuMnNi)90Al11,HEA,"Fusion por arco + calentamiento escalonado a 700°C, 900°C, 1050°C",FCC + Im,FCC+IM,8.1,241,N/A,515,N/A,40,30-jul-15,https://doi.org/10.1016/j.jallcom.2015.07.285
569,(CuMnNi)90Sn10,(CuMnNi)90Sn11,HEA,"Fusion por arco + calentamiento escalonado a 700°C, 900°C, 1050°C",FCC + Im,FCC+IM,8.3,318,N/A,630,N/A,20,30-jul-15,https://doi.org/10.1016/j.jallcom.2015.07.285
570,(CuMnNi)95Al5,(CuMnNi)95Al6,HEA,"Fusion por arco + calentamiento escalonado a 700°C, 900°C, 1050°C",FCC,FCC,8.3,166,174,330,N/A,>45,30-jul-15,https://doi.org/10.1016/j.jallcom.2015.07.285
571,(CuMnNi)95Sn5,(CuMnNi)95Sn6,HEA,"Fusion por arco + calentamiento escalonado a 700°C, 900°C, 1050°C",FCC + Im,FCC+IM,8.4,205,N/A,380,N/A,>63,30-jul-15,https://doi.org/10.1016/j.jallcom.2015.07.285
